hhId,lon,lat,income,pId,age,gender,isEmployed
161138,18.680091,-33.825999,614400,567844,44,m,true
161138,18.680091,-33.825999,614400,567845,39,f,true
161138,18.680091,-33.825999,614400,567846,14,f,false
161138,18.680091,-33.825999,614400,567847,8,m,false
161154,18.680522,-33.825761,307200,567880,23,m,true
161154,18.680522,-33.825761,307200,567881,24,f,true
161179,18.682490,-33.828997,614400,567927,29,m,false
161179,18.682490,-33.828997,614400,567928,32,m,false
161184,18.679494,-33.829020,307200,567939,47,f,false
161184,18.679494,-33.829020,307200,567940,35,f,true
161184,18.679494,-33.829020,307200,567941,41,f,false
161184,18.679494,-33.829020,307200,567942,29,m,false
161184,18.679494,-33.829020,307200,567943,54,m,true
161184,18.679494,-33.829020,307200,567944,49,f,false
161184,18.679494,-33.829020,307200,567945,26,m,true
161184,18.679494,-33.829020,307200,567946,22,m,false
161184,18.679494,-33.829020,307200,567947,19,f,false
161188,18.681040,-33.827665,153600,567955,67,f,false
161189,18.681619,-33.829006,614400,567956,38,m,true
161203,18.676900,-33.829050,1228800,567990,41,m,true
161203,18.676900,-33.829050,1228800,567991,38,f,true
161203,18.676900,-33.829050,1228800,567992,4,f,false
161203,18.676900,-33.829050,1228800,567993,4,f,false
161209,18.680542,-33.827930,614400,568010,44,f,true
161209,18.680542,-33.827930,614400,568011,50,f,true
161209,18.680542,-33.827930,614400,568012,41,f,true
161209,18.680542,-33.827930,614400,568013,12,f,false
161209,18.680542,-33.827930,614400,568014,9,m,false
161230,18.680711,-33.823384,153600,568077,33,m,true
161230,18.680711,-33.823384,153600,568078,37,f,true
161230,18.680711,-33.823384,153600,568079,9,f,false
161230,18.680711,-33.823384,153600,568080,9,m,false
161259,18.679434,-33.825068,307200,568137,36,m,true
161259,18.679434,-33.825068,307200,568138,38,f,true
161259,18.679434,-33.825068,307200,568139,2,f,false
161259,18.679434,-33.825068,307200,568140,1,f,false
161272,18.678054,-33.824439,153600,568166,36,m,true
161272,18.678054,-33.824439,153600,568167,29,f,true
161274,18.679608,-33.824705,614400,568172,36,m,true
161274,18.679608,-33.824705,614400,568173,30,m,true
161285,18.680594,-33.827615,614400,568201,48,m,true
161285,18.680594,-33.827615,614400,568202,31,f,false
161285,18.680594,-33.827615,614400,568203,2,m,false
161315,18.680604,-33.826094,614400,568281,52,f,true
161315,18.680604,-33.826094,614400,568282,26,f,true
161320,18.680167,-33.825291,1228800,568293,19,m,false
161320,18.680167,-33.825291,1228800,568294,27,m,false
161320,18.680167,-33.825291,1228800,568295,33,m,true
161320,18.680167,-33.825291,1228800,568296,28,m,true
161320,18.680167,-33.825291,1228800,568297,20,m,true
161335,18.679342,-33.826010,307200,568332,56,m,true
161335,18.679342,-33.826010,307200,568333,53,f,true
161335,18.679342,-33.826010,307200,568334,14,f,false
161350,18.681368,-33.827605,153600,568370,53,m,true
161350,18.681368,-33.827605,153600,568371,47,f,true
161350,18.681368,-33.827605,153600,568372,22,m,true
161350,18.681368,-33.827605,153600,568373,18,f,true
161364,18.681874,-33.828564,153600,568410,56,m,true
161364,18.681874,-33.828564,153600,568411,45,f,true
161372,18.679253,-33.828079,307200,568425,59,f,true
161402,18.680059,-33.825050,153600,568490,24,m,true
161461,18.680287,-33.825659,307200,568656,52,m,true
161461,18.680287,-33.825659,307200,568657,52,f,false
161461,18.680287,-33.825659,307200,568658,21,m,false
161489,18.679689,-33.825235,1228800,568725,32,f,true
161489,18.679689,-33.825235,1228800,568726,34,m,true
161489,18.679689,-33.825235,1228800,568727,5,f,false
161489,18.679689,-33.825235,1228800,568728,5,m,false
161493,18.679313,-33.824545,1228800,568735,45,m,true
161493,18.679313,-33.824545,1228800,568736,45,f,true
161493,18.679313,-33.824545,1228800,568737,15,f,false
161493,18.679313,-33.824545,1228800,568738,13,f,false
161540,18.680336,-33.825855,153600,568856,55,f,true
161540,18.680336,-33.825855,153600,568857,61,m,true
161540,18.680336,-33.825855,153600,568858,27,m,true
161552,18.681582,-33.827679,307200,568884,85,f,false
238132,18.680218,-33.822087,1228800,830454,39,m,true
238132,18.680218,-33.822087,1228800,830455,40,f,false
238132,18.680218,-33.822087,1228800,830456,10,f,false
238132,18.680218,-33.822087,1228800,830457,7,m,false
238132,18.680218,-33.822087,1228800,830458,10,m,false
238132,18.680218,-33.822087,1228800,830459,33,m,true
238132,18.680218,-33.822087,1228800,830460,24,f,true
238132,18.680218,-33.822087,1228800,830461,2,m,false
238141,18.681047,-33.821997,614400,830481,68,m,false
238141,18.681047,-33.821997,614400,830482,67,f,false
238144,18.676714,-33.821207,307200,830487,20,m,true
238144,18.676714,-33.821207,307200,830488,19,m,true
238153,18.678905,-33.822275,153600,830507,60,f,false
238161,18.680886,-33.821045,614400,830522,48,m,true
238161,18.680886,-33.821045,614400,830523,35,f,true
238161,18.680886,-33.821045,614400,830524,21,f,false
238161,18.680886,-33.821045,614400,830525,11,m,false
238163,18.678874,-33.821887,153600,830530,35,m,true
238163,18.678874,-33.821887,153600,830531,33,m,true
238168,18.680230,-33.821068,307200,830541,35,m,true
238182,18.679909,-33.822349,307200,830579,72,m,false
238182,18.679909,-33.822349,307200,830580,49,m,true
238182,18.679909,-33.822349,307200,830581,62,f,false
238183,18.681277,-33.822244,2457600,830582,41,m,true
238183,18.681277,-33.822244,2457600,830583,38,f,false
238183,18.681277,-33.822244,2457600,830584,11,m,false
238183,18.681277,-33.822244,2457600,830585,6,m,false
238193,18.677982,-33.821955,307200,830604,63,m,false
238193,18.677982,-33.821955,307200,830605,26,f,true
238193,18.677982,-33.821955,307200,830606,51,f,true
238196,18.680025,-33.822469,38400,830611,63,f,false
238196,18.680025,-33.822469,38400,830612,68,f,false
238197,18.677026,-33.821270,153600,830613,32,m,true
238197,18.677026,-33.821270,153600,830614,30,f,true
238197,18.677026,-33.821270,153600,830615,0,m,false
238203,18.680518,-33.821458,153600,830634,25,m,true
238203,18.680518,-33.821458,153600,830635,21,f,true
238203,18.680518,-33.821458,153600,830636,0,m,false
238208,18.681033,-33.819362,307200,830644,27,m,true
238208,18.681033,-33.819362,307200,830645,26,f,true
238208,18.681033,-33.819362,307200,830646,1,f,false
238208,18.681033,-33.819362,307200,830647,16,m,false
238217,18.680325,-33.820659,614400,830669,50,f,true
238217,18.680325,-33.820659,614400,830670,18,m,true
238219,18.677092,-33.823640,307200,830675,44,m,true
238219,18.677092,-33.823640,307200,830676,40,f,false
238219,18.677092,-33.823640,307200,830677,15,f,false
238233,18.677331,-33.823623,0,830711,75,m,false
238233,18.677331,-33.823623,0,830712,62,f,false
238240,18.678068,-33.823062,307200,830730,45,m,true
238240,18.678068,-33.823062,307200,830731,34,f,true
238240,18.678068,-33.823062,307200,830732,26,f,false
